"Statistic Label","Week","Luas Line","UNIT","VALUE"
"Passenger Journeys","2023 Week 12","Green line","Number","437350"
"Passenger Journeys","2023 Week 13","Red line","Number","507092"
"Passenger Journeys","2023 Week 13","Green line","Number","464282"
"Passenger Journeys","2023 Week 14","Red line","Number","482842"
"Passenger Journeys","2023 Week 14","Green line","Number","412105"
"Passenger Journeys","2023 Week 15","Red line","Number","476106"
"Passenger Journeys","2023 Week 15","Green line","Number","354148"
"Passenger Journeys","2023 Week 16","Red line","Number","493366"
"Passenger Journeys","2023 Week 16","Green line","Number","443616"
"Passenger Journeys","2023 Week 17","Red line","Number","495522"
"Passenger Journeys","2023 Week 17","Green line","Number","418215"
"Passenger Journeys","2023 Week 18","Red line","Number","483525"
"Passenger Journeys","2023 Week 18","Green line","Number","401836"
"Passenger Journeys","2023 Week 19","Red line","Number","496075"
"Passenger Journeys","2023 Week 19","Green line","Number","443212"
"Passenger Journeys","2023 Week 20","Red line","Number","487287"
"Passenger Journeys","2023 Week 20","Green line","Number","446753"
"Passenger Journeys","2023 Week 21","Red line","Number","598293"
"Passenger Journeys","2023 Week 21","Green line","Number","343813"
"Passenger Journeys","2023 Week 22","Red line","Number","383243"
"Passenger Journeys","2023 Week 22","Green line","Number","329521"
"Passenger Journeys","2023 Week 23","Red line","Number","465542"
"Passenger Journeys","2023 Week 23","Green line","Number","379988"
"Passenger Journeys","2023 Week 24","Red line","Number","482633"
"Passenger Journeys","2023 Week 24","Green line","Number","425858"
"Passenger Journeys","2023 Week 25","Red line","Number","510176"
"Passenger Journeys","2023 Week 25","Green line","Number","432325"
"Passenger Journeys","2023 Week 26","Red line","Number","525000"
"Passenger Journeys","2023 Week 26","Green line","Number","440830"
"Passenger Journeys","2023 Week 27","Red line","Number","501656"
"Passenger Journeys","2023 Week 27","Green line","Number","415577"
